Nodo,Volumen,Uso cpu (≈ %),Uso memoria (≈%),Uso cpu Docker (≈%),Uso memoria Docker (≈%)
Be1,10K,7.03125,20.375,12.5,46.5625
Be1,15K,12.5,32.0,25.0,58.125
Be1,25K,90.625,69.875,100,100
Be2,10K,0.46875,4.06875,12.5,46.5625
Be2,15K,0.8125,4.9375,25.0,58.125
Be2,25K,3.125,29,100,100
Be3,10K,0.5,4.06875,12.5,46.5625
Be3,15K,0.8125,4.3625,25.0,58.125
Be3,25K,5,29,100,100
