Nodo,Volumen,Uso cpu (≈ %),Uso memoria (≈%),Uso cpu Docker (≈%),Uso memoria Docker (≈%)
Be1,10K,25,1.953,37.5,58.125
Be1,15K,30,3.4087,50.0,68.75
Be1,25K,45,3.125,50.0,84.375
Be2,10K,25,1.95,37.5,58.125
Be2,15K,30,2.90625,50.0,68.75
Be2,25K,45,3.515625,50.0,84.375
Be3,10K,25,2.34375,37.5,58.125
Be3,15K,30,2.90625,50.0,68.75
Be3,25K,45,3.125,50.0,84.375
