Nodo,Volumen,Uso cpu (≈ %),Uso memoria (≈%),Uso cpu Docker (≈%),Uso memoria Docker (≈%)
Be1,10K,25,9.375,46.875,58.125
Be1,15K,40,9.375,57.8125,69.875
Be1,25K,40,10.0,62.5,87.5
Be2,10K,25,9.375,46.875,58.125
Be2,15K,40,9.375,57.8125,69.875
Be2,25K,40,10.0,62.5,87.5
Be3,10K,25,9.375,46.875,58.125
Be3,15K,40,9.375,57.8125,69.875
Be3,25K,40,10.0,62.5,87.5
